dungeonId,dungeonName,dungeonNameOrig,element,dungeonsIdToUnlock,buffs
30,Tree of promise,約束の樹,fire,[],
31,House in the forest,森の家,wood,[],
32,Endless city under the sea,無限の海城,aqua,[],
33,Foriegn church part 1,異国の教会1,fire,[],
34,Foriegn church part 2,異国の教会2,fire,[34],
35,Foriegn church part 3,異国の教会3,fire,[35],
36,Foriegn church part 4,異国の教会4,fire,[36],
37,Secret fountain,神秘の泉,wood,[],
38,Chicken temple part 1,酉の社1,aqua,[],
39,Chicken temple part 2,酉の社2,aqua,[38],
40,Chicken temple part 3,酉の社3,aqua,[39],
41,Chicken temple part 4,酉の社4,aqua,[40],
42,Chicken temple part 5,酉の社5,aqua,[41],
43,Group A,グループ A,light,[],masterJudge
44,Group B,グループ B,light,[],masterJudge
45,Group C,グループ C,light,[],masterJudge
46,Group D,グループ D,light,[],masterJudge
47,Reflesia Coliseum,リフレシアコロシアム,light,[],masterJudge
48,Jade river,翠緑の河,fire,[],
49,Divine space of dark rose,黒薔薇の聖地,dark,[],
50,No man's country,無人の国,dark,[],masterJudge
51,Collapsed world,崩壊した世界,aqua,[],
52,Gate of immoral,背徳の門,dark,[],
53,Path of conquerer,覇者の参道,aqua,[],
54,Moutain of legend,伝説の山,aqua,[],
55,Ephemeral dream,泡沫の夢,aqua,[],
90,Sea,海,aqua,[],
91,Unreachable sanctuary,届かぬ聖域,dark,[],
92,City of glass,ガラスの街,light,[],
93,Stage under the blazing sun,炎天下のフロア,fire,[],
102,Path to Zeta,ゼータの小道,light,[],
103,Music room, a few days ago,過日の音楽室,wood,[],
104,Valley of the cursed mist,呪霧の谷,aqua,[],
105,A record store owner,とあるレコード屋,fire,[],
106,Monochrome home,灰色の家,aqua,[],
107,Temple without a name,名もなき祠,wood,[],
108,Sky arena,天空の競技場,fire,[],
109,Center of milky way,銀河系の中心,aqua,[],
110,Castle of the baron,ある男爵の城,fire,[],
111,Area 60°,エリア60°,wood,[],
80,1F,1階,dark,[79],jrInfMode|greatAsGood
81,2F,2階,dark,[80],jrInfMode|onlyJrDamage
82,3F,3階,dark,[81],jrInfMode|rivarJrGreatDamage
83,4F,4階,dark,[82],jrInfMode|noTopColor
84,5F,5階,dark,[83],jrInfMode|lowSpeed
85,6F,6階,dark,[84],jrInfMode|onlyJrDamage|noRecovery
86,7F,7階,dark,[85],jrInfMode|greatAsGood|noRecovery
87,8F,8階,dark,[86],jrInfMode|rivarJrGreatDamage|noRevovery
88,9F,9階,dark,[87],jrInfMode|noTopColor
89,10F,10階,dark,[88],jrInfMode|lowSpeed|noRevovery
97,1F,1階,dark,[89],jrInfMode|rivarJrGreatDamage|greatAsGood
98,2F,2階,dark,[97],jrInfMode|rivarJrGreatDamage|onlyJrDamage
99,3F,3階,dark,[98],jrInfMode|rivarJrGreatDamage|noTopColor
100,4F,4階,dark,[99],jrInfMode|lowSpeed|greatAsGood|noRevovery
101,5F,5階,dark,[100],jrInfMode|rivarJrGreatDamage|noRevovery
