version,musicId,chartType,level,skillRate,maxCombo,maxKeepCount,maxJustReflec,chartVersion
6,48,hard,12,63,665,165,14,6
6,48,whitehard,14,77,1003,226,22,6
6,51,basic,4,13,207,55,0,6
6,51,medium,9,36,366,37,12,6
6,51,hard,11,50,430,13,12,6
6,51,whitehard,12,58,575,23,15,6
6,52,basic,7,29,494,191,11,6
6,52,medium,9,39,601,227,14,6
6,52,hard,13,69,836,123,21,6
6,52,whitehard,14,76,1197,321,25,6
6,53,basic,2,7,128,8,0,6
6,53,medium,7,30,268,29,9,6
6,53,hard,10,45,435,45,15,6
6,53,whitehard,11,50,490,148,12,6
6,56,basic,5,18,178,43,6,6
6,56,medium,9,36,398,83,12,6
6,56,hard,11,50,521,101,12,6
6,58,basic,5,18,163,19,6,6
6,58,medium,9,38,410,66,13,6
6,58,hard,11,52,594,116,13,6
6,59,basic,6,23,130,2,5,6
6,59,medium,9,39,413,106,12,6
6,59,hard,12,57,637,145,14,6
6,59,whitehard,13,67,703,138,16,6
6,60,basic,6,25,318,6,12,6
6,60,medium,10,46,525,6,15,6
6,60,hard,12,60,704,6,20,6
6,60,whitehard,14,74,976,14,28,6
6,61,basic,6,22,293,59,8,6
6,61,medium,9,38,478,78,15,6
6,61,hard,11,53,623,94,15,6
6,61,whitehard,14,77,1164,131,30,6
6,62,basic,7,27,399,61,13,6
6,62,medium,10,45,497,55,12,6
6,62,hard,12,64,797,49,21,6
6,62,whitehard,15,85,1104,95,29,6
6,63,basic,5,20,304,91,8,6
6,63,medium,8,32,430,138,11,6
6,63,hard,11,51,742,220,15,6
6,63,whitehard,13,66,957,250,20,6
6,64,basic,6,25,238,16,8,6
6,64,medium,9,37,444,26,12,6
6,64,hard,12,60,709,30,19,6
6,64,whitehard,14,76,1032,71,27,6
6,65,basic,7,26,313,39,10,6
6,65,medium,9,38,439,47,15,6
6,65,hard,11,52,563,49,15,6
6,67,basic,2,6,117,4,0,6
6,67,medium,7,28,211,16,9,6
6,67,hard,9,39,289,17,10,6
6,80,basic,4,13,178,23,0,6
6,80,medium,8,31,292,19,10,6
6,80,hard,10,46,441,87,13,6
6,80,whitehard,11,53,557,83,13,6
6,86,basic,4,13,170,16,0,6
6,86,medium,8,31,293,38,9,6
6,86,hard,10,45,426,66,13,6
6,93,basic,2,7,94,26,0,6
6,93,medium,7,29,344,111,9,6
6,93,hard,10,45,466,173,10,6
6,93,whitehard,12,57,642,132,15,6
6,94,basic,3,11,144,29,0,6
6,94,medium,9,36,385,151,9,6
6,94,hard,11,54,631,225,11,6
6,94,whitehard,12,61,728,194,15,6
6,95,basic,4,13,265,52,0,6
6,95,medium,8,31,347,61,11,6
6,95,hard,10,45,490,98,15,6
6,96,basic,6,22,261,51,8,6
6,96,medium,9,38,346,45,11,6
6,96,hard,12,61,614,102,15,6
6,97,basic,5,19,101,0,4,6
6,97,medium,7,28,254,44,8,6
6,97,hard,9,38,426,84,13,6
6,98,basic,2,5,103,17,0,6
6,98,medium,7,27,192,34,7,6
6,98,hard,9,39,443,200,9,6
6,99,basic,6,21,180,28,7,6
6,99,medium,8,33,277,42,9,6
6,99,hard,10,44,427,53,14,6
6,100,basic,5,17,136,5,6,6
6,100,medium,7,29,340,72,10,6
6,100,hard,10,43,506,95,11,6
6,101,basic,7,29,357,131,8,6
6,101,medium,10,45,373,62,12,6
6,101,hard,14,76,724,269,13,6
6,101,whitehard,15,81,878,340,15,6
6,102,basic,6,23,320,100,8,6
6,102,medium,8,33,411,113,11,6
6,102,hard,10,45,492,114,14,6
6,104,basic,7,28,288,70,8,6
6,104,medium,10,46,509,135,14,6
6,104,hard,13,72,737,194,15,6
6,104,whitehard,14,76,871,170,20,6
6,105,basic,6,22,230,15,8,6
6,105,medium,9,37,364,33,13,6
6,105,hard,11,52,533,44,14,6
6,105,whitehard,12,61,735,72,19,6
6,106,basic,6,25,247,29,8,6
6,106,medium,9,40,411,42,14,6
6,106,hard,11,51,431,6,12,6
6,106,whitehard,13,66,659,5,19,6
6,108,basic,2,5,112,30,0,6
6,108,medium,7,28,193,25,7,6
6,108,hard,10,43,392,70,12,6
6,110,basic,8,31,391,21,14,6
6,110,medium,10,43,526,32,14,6
6,110,hard,14,74,820,87,21,6
6,111,basic,1,3,110,34,0,6
6,111,medium,6,23,256,66,9,6
6,111,hard,10,44,454,181,10,6
6,111,whitehard,10,41,559,214,12,6
6,114,basic,6,24,299,97,7,6
6,114,medium,8,34,360,107,9,6
6,114,hard,11,50,499,126,14,6
6,115,basic,6,21,304,155,7,6
6,115,medium,10,45,412,42,14,6
6,115,hard,12,62,626,107,15,6
6,117,basic,6,23,250,77,8,6
6,117,medium,9,39,350,98,9,6
6,117,hard,11,53,711,289,12,6
6,117,whitehard,13,66,926,295,18,6
6,118,basic,6,23,223,34,8,6
6,118,medium,9,38,371,70,11,6
6,118,hard,12,61,698,133,16,6
6,118,whitehard,13,70,925,192,21,6
6,119,basic,7,27,351,137,8,6
6,119,medium,10,47,686,266,12,6
6,119,hard,14,80,1010,257,22,6
6,119,whitehard,15,85,1154,271,26,6
6,120,basic,7,28,399,95,11,6
6,120,medium,10,47,564,116,12,6
6,120,hard,15,85,1072,263,23,6
6,121,basic,3,11,184,21,0,6
6,121,medium,8,34,393,51,13,6
6,121,hard,11,51,578,106,13,6
6,122,basic,5,18,138,18,5,6
6,122,medium,7,30,308,105,7,6
6,122,hard,12,59,694,164,15,6
6,122,whitehard,12,63,792,168,18,6
6,127,basic,6,22,256,14,9,6
6,127,medium,9,37,321,14,11,6
6,127,hard,11,53,493,52,12,6
6,129,basic,5,18,196,70,5,6
6,129,medium,8,32,342,132,7,6
6,129,hard,10,45,503,203,11,6
6,129,whitehard,12,59,637,203,12,6
6,130,basic,5,19,196,0,9,6
6,130,medium,8,32,355,10,13,6
6,130,hard,11,54,557,10,16,6
6,130,whitehard,12,59,737,11,21,6
6,131,basic,6,23,276,10,10,6
6,131,medium,8,33,415,12,11,6
6,131,hard,11,51,645,99,15,6
6,131,whitehard,12,60,926,112,23,6
6,133,basic,7,27,305,72,8,6
6,133,medium,9,39,467,117,13,6
6,133,hard,12,58,744,200,15,6
6,135,basic,5,18,122,0,5,6
6,135,medium,7,29,336,62,10,6
6,135,hard,10,42,521,125,15,6
6,139,basic,4,15,254,45,0,6
6,139,medium,8,32,389,116,10,6
6,139,hard,11,53,687,250,12,6
6,139,whitehard,13,68,915,140,22,6
6,140,basic,5,20,223,44,8,6
6,140,medium,8,34,331,94,9,6
6,140,hard,10,47,516,164,13,6
6,141,basic,3,11,171,62,0,6
6,141,medium,7,29,317,118,8,6
6,141,hard,10,46,546,236,11,6
6,142,basic,6,25,273,25,8,6
6,142,medium,9,40,384,24,13,6
6,142,hard,12,61,644,36,17,6
6,142,whitehard,14,74,920,186,21,6
6,143,basic,6,23,247,52,9,6
6,143,medium,10,46,530,111,11,6
6,143,hard,13,68,782,111,19,6
6,143,whitehard,12,60,783,112,19,6
6,144,basic,5,20,211,29,8,6
6,144,medium,9,38,345,22,12,6
6,144,hard,11,53,570,51,15,6
6,144,whitehard,13,67,844,133,20,6
6,145,basic,6,24,366,110,9,6
6,145,medium,10,45,646,170,13,6
6,145,hard,14,74,1048,204,24,6
6,146,basic,6,23,191,6,8,6
6,146,medium,10,43,424,45,14,6
6,146,hard,12,57,624,72,16,6
6,146,whitehard,13,67,832,157,19,6
6,147,basic,8,33,343,57,11,6
6,147,medium,11,52,584,91,14,6
6,147,hard,14,79,862,105,22,6
6,147,whitehard,15,84,1005,146,25,6
6,149,basic,6,22,277,95,8,6
6,149,medium,8,33,439,134,11,6
6,149,hard,12,61,697,195,14,6
6,150,basic,4,13,205,52,0,6
6,150,medium,8,31,346,37,11,6
6,150,hard,11,54,614,158,13,6
6,150,whitehard,12,60,721,78,18,6
6,151,basic,6,22,238,10,8,6
6,151,medium,9,37,411,14,15,6
6,151,hard,11,52,581,36,15,6
6,152,basic,7,27,331,31,11,6
6,152,medium,10,45,488,62,12,6
6,152,hard,13,68,807,107,20,6
6,153,basic,4,13,213,33,0,6
6,153,medium,8,32,384,47,12,6
6,153,hard,11,52,615,139,13,6
6,153,whitehard,13,67,847,125,21,6
6,155,basic,4,13,193,62,0,6
6,155,medium,7,30,256,31,8,6
6,155,hard,10,45,408,76,13,6
6,161,basic,6,23,211,22,9,6
6,161,medium,9,39,441,104,13,6
6,161,hard,11,53,615,52,16,6
6,161,whitehard,13,71,971,203,22,6
6,163,basic,6,22,192,26,8,6
6,163,medium,9,36,376,45,12,6
6,163,hard,13,65,737,107,18,6
6,163,whitehard,14,74,974,97,25,6
6,164,basic,6,24,243,6,9,6
6,164,medium,10,45,509,13,14,6
6,164,hard,12,61,682,13,19,6
6,165,basic,5,20,158,14,6,6
6,165,medium,9,37,409,28,14,6
6,165,hard,12,61,706,28,19,6
6,166,basic,7,28,308,6,11,6
6,166,medium,10,46,470,12,13,6
6,166,hard,13,71,869,26,24,6
6,166,whitehard,15,86,1209,20,34,6
6,167,basic,7,30,329,24,11,6
6,167,medium,10,47,535,50,14,6
6,167,hard,14,75,871,50,24,6
6,167,whitehard,15,83,1110,140,28,6
6,168,basic,6,21,332,197,6,6
6,168,medium,8,33,611,337,10,6
6,168,hard,11,52,919,346,16,6
6,172,basic,1,3,123,46,0,6
6,172,medium,6,23,160,29,6,6
6,172,hard,9,37,367,115,9,6
6,177,basic,5,19,173,25,7,6
6,177,medium,8,33,289,13,10,6
6,177,hard,11,50,404,30,14,6
6,177,whitehard,11,51,488,64,12,6
6,179,basic,3,11,188,36,0,6
6,179,medium,7,28,256,54,7,6
6,179,hard,10,45,499,96,11,6
6,181,basic,4,13,203,51,0,6
6,181,medium,7,29,250,64,9,6
6,181,hard,10,45,495,116,14,6
6,181,whitehard,10,48,571,127,13,6
6,182,basic,2,7,95,10,0,6
6,182,medium,7,29,243,26,8,6
6,182,hard,10,45,382,68,12,6
6,184,basic,6,21,181,44,6,6
6,184,medium,8,32,312,82,8,6
6,184,hard,11,51,543,159,14,6
6,185,basic,4,13,218,58,0,6
6,185,medium,8,32,351,55,11,6
6,185,hard,10,45,482,54,12,6
6,188,basic,5,19,135,5,6,6
6,188,medium,9,37,401,43,13,6
6,188,hard,11,52,705,78,18,6
6,188,whitehard,12,59,757,85,19,6
6,189,basic,5,19,162,29,6,6
6,189,medium,9,37,286,22,10,6
6,189,hard,11,55,643,74,16,6
6,189,whitehard,13,71,1048,106,27,6
6,190,basic,7,30,287,50,9,6
6,190,medium,10,47,513,67,12,6
6,190,hard,14,74,812,87,21,6
6,190,whitehard,12,62,812,87,21,6
6,192,basic,2,7,120,27,0,6
6,192,medium,7,28,283,79,7,6
6,192,hard,10,46,580,118,13,6
6,193,basic,6,22,212,52,7,6
6,193,medium,9,39,379,48,12,6
6,193,hard,11,52,573,81,14,6
6,195,basic,5,18,182,14,8,6
6,195,medium,9,37,442,65,14,6
6,195,hard,11,54,597,86,14,6
6,196,basic,6,22,201,52,7,6
6,196,medium,9,38,419,81,13,6
6,196,hard,12,62,712,134,16,6
6,197,basic,6,22,224,30,8,6
6,197,medium,9,36,342,6,12,6
6,197,hard,12,60,640,30,17,6
6,198,basic,5,18,196,48,7,6
6,198,medium,8,31,348,107,9,6
6,198,hard,11,50,607,161,12,6
6,200,basic,5,18,168,20,7,6
6,200,medium,8,33,284,28,10,6
6,200,hard,11,54,642,65,16,6
6,202,basic,6,24,201,4,9,6
6,202,medium,9,39,484,41,13,6
6,202,hard,14,74,861,33,24,6
6,202,whitehard,14,76,945,51,26,6
6,203,basic,4,13,152,48,0,6
6,203,medium,8,31,297,28,10,6
6,203,hard,10,47,628,232,15,6
6,204,basic,5,19,176,52,5,6
6,204,medium,8,32,325,67,10,6
6,204,hard,10,45,498,128,14,6
6,206,basic,7,30,373,112,9,6
6,206,medium,10,44,588,134,13,6
6,206,hard,15,82,1012,241,22,6
6,206,whitehard,15,84,1123,282,24,6
6,208,basic,6,22,189,42,7,6
6,208,medium,9,38,452,128,12,6
6,208,hard,12,60,713,73,18,6
6,208,whitehard,13,67,965,224,21,6
6,209,basic,6,22,231,89,5,6
6,209,medium,9,38,398,110,11,6
6,209,hard,12,61,702,175,15,6
6,210,basic,6,23,321,80,8,6
6,210,medium,10,42,528,105,12,6
6,210,hard,13,70,932,191,21,6
6,210,whitehard,14,77,1217,243,28,6
6,211,basic,5,18,186,46,6,6
6,211,medium,8,33,368,71,11,6
6,211,hard,11,53,644,123,15,6
6,212,basic,3,9,165,40,0,6
6,212,medium,8,32,422,153,10,6
6,212,hard,11,53,795,168,18,6
6,212,whitehard,12,64,1059,283,22,6
6,214,basic,6,25,319,93,8,6
6,214,medium,10,43,471,70,11,6
6,214,hard,13,68,718,83,18,6
6,215,basic,5,16,133,21,5,6
6,215,medium,9,37,291,50,9,6
6,215,hard,12,61,644,83,16,6
6,215,whitehard,15,82,829,165,19,6
6,217,basic,6,24,250,70,8,6
6,217,medium,10,46,440,109,13,6
6,217,hard,12,60,690,150,15,6
6,219,basic,6,24,303,112,9,6
6,219,medium,9,38,434,135,11,6
6,219,hard,13,67,964,271,20,6
6,219,whitehard,13,68,1150,374,21,6
6,221,basic,6,24,213,12,7,6
6,221,medium,9,38,403,67,12,6
6,221,hard,12,61,600,91,14,6
6,222,basic,6,22,162,4,7,6
6,222,medium,9,38,327,4,12,6
6,222,hard,13,69,695,9,20,6
6,223,basic,3,9,161,39,0,6
6,223,medium,8,34,426,142,11,6
6,223,hard,11,51,653,247,11,6
6,225,basic,6,24,285,110,8,6
6,225,medium,10,44,444,81,14,6
6,225,hard,12,64,638,23,17,6
6,226,basic,5,18,211,121,4,6
6,226,medium,7,29,381,184,9,6
6,226,hard,9,40,601,253,13,6
6,227,basic,6,21,241,86,7,6
6,227,medium,9,38,541,72,13,6
6,227,hard,11,53,686,108,16,6
6,228,basic,6,24,245,0,9,6
6,228,medium,10,44,437,0,12,6
6,228,hard,13,69,739,0,21,6
6,229,basic,6,23,316,176,6,6
6,229,medium,10,45,418,99,12,6
6,229,hard,15,81,877,146,19,6
6,230,basic,6,24,318,91,8,6
6,230,medium,9,38,525,110,12,6
6,230,hard,14,77,843,154,20,6
6,231,basic,3,10,172,48,0,6
6,231,medium,9,37,323,4,12,6
6,231,hard,11,55,507,16,14,6
6,236,basic,1,3,112,43,0,6
6,236,medium,6,22,245,75,8,6
6,236,hard,8,33,401,124,10,6
6,236,whitehard,9,38,506,190,12,6
6,242,basic,5,18,164,55,5,6
6,242,medium,9,37,358,67,11,6
6,242,hard,11,53,576,102,13,6
6,243,basic,5,16,108,31,3,6
6,243,medium,7,29,277,70,7,6
6,243,hard,10,46,422,85,12,6
6,244,basic,6,22,206,54,7,6
6,244,medium,9,37,414,63,13,6
6,244,hard,12,60,832,98,21,6
6,245,basic,7,29,287,109,7,6
6,245,medium,10,48,590,155,12,6
6,245,hard,14,78,1100,292,23,6
6,245,whitehard,14,78,1057,170,26,6
6,246,basic,6,23,230,61,8,6
6,246,medium,10,43,452,121,12,6
6,246,hard,13,69,714,167,15,6
6,247,basic,5,19,240,109,6,6
6,247,medium,8,33,449,127,12,6
6,247,hard,12,60,630,153,13,6
6,248,basic,5,19,200,53,7,6
6,248,medium,8,33,449,117,12,6
6,248,hard,11,53,654,177,13,6
6,249,basic,6,21,162,11,7,6
6,249,medium,9,36,315,22,11,6
6,249,hard,14,73,822,145,20,6
6,250,basic,5,17,160,51,4,6
6,250,medium,9,37,254,52,7,6
6,250,hard,11,52,513,128,15,6
6,251,basic,6,23,229,82,7,6
6,251,medium,10,47,596,172,12,6
6,251,hard,13,70,1064,424,18,6
6,252,basic,2,7,144,53,0,6
6,252,medium,8,33,510,243,10,6
6,252,hard,10,46,691,244,13,6
6,253,basic,5,20,224,34,9,6
6,253,medium,8,34,364,52,11,6
6,253,hard,11,52,495,40,13,6
6,254,basic,5,19,236,87,7,6
6,254,medium,9,37,503,162,13,6
6,254,hard,12,62,790,199,17,6
6,255,basic,6,22,169,65,4,6
6,255,medium,8,34,333,100,8,6
6,255,hard,12,61,677,189,14,6
6,256,basic,6,22,233,81,7,6
6,256,medium,9,38,404,80,12,6
6,256,hard,13,71,901,165,21,6
6,257,basic,7,27,327,98,8,6
6,257,medium,10,44,547,94,12,6
6,257,hard,15,85,1257,315,27,6
6,258,basic,5,17,111,14,4,6
6,258,medium,9,37,358,59,11,6
6,258,hard,12,59,693,89,17,6
6,259,basic,5,18,129,17,5,6
6,259,medium,8,34,201,0,7,6
6,259,hard,11,53,608,167,13,6
6,260,basic,8,32,488,267,8,6
6,260,medium,10,47,761,358,11,6
6,260,hard,15,83,1290,562,20,6
6,263,basic,4,15,267,121,0,6
6,263,medium,9,37,490,179,12,6
6,263,hard,11,53,849,307,15,6
6,264,basic,5,19,207,48,7,6
6,264,medium,8,33,516,237,10,6
6,264,hard,11,55,778,269,14,6
6,265,basic,5,18,172,74,4,6
6,265,medium,8,33,316,90,8,6
6,265,hard,11,50,565,142,12,6
6,266,basic,6,22,193,6,8,6
6,266,medium,9,40,403,58,13,6
6,266,hard,14,77,983,191,23,6
6,266,whitehard,15,81,999,79,26,6
6,267,basic,5,18,107,6,4,6
6,267,medium,9,37,285,9,10,6
6,267,hard,12,61,712,130,16,6
6,268,basic,6,22,231,50,8,6
6,268,medium,10,45,538,62,13,6
6,268,hard,14,79,864,51,23,6
6,269,basic,6,23,308,146,7,6
6,269,medium,9,39,724,363,13,6
6,269,hard,15,81,1069,362,20,6
6,269,whitehard,15,85,859,123,21,6
6,270,basic,6,24,340,75,9,6
6,270,medium,9,40,489,69,12,6
6,270,hard,11,54,667,24,19,6
6,270,whitehard,12,61,943,99,25,6
6,271,basic,7,27,319,84,8,6
6,271,medium,10,44,523,118,11,6
6,271,hard,14,75,837,178,19,6
6,272,basic,3,9,171,48,0,6
6,272,medium,8,32,390,118,10,6
6,272,hard,10,46,555,165,15,6
6,272,whitehard,11,53,627,166,13,6
6,274,basic,5,18,177,43,6,6
6,274,medium,8,34,367,28,13,6
6,274,hard,11,55,661,68,17,6
6,275,basic,5,20,218,43,8,6
6,275,medium,9,37,409,134,10,6
6,275,hard,12,61,670,165,14,6
6,276,basic,7,28,299,71,8,6
6,276,medium,10,42,472,90,14,6
6,276,hard,13,71,817,100,20,6
6,276,whitehard,14,74,929,164,22,6
6,277,basic,5,19,139,30,5,6
6,277,medium,8,34,349,42,11,6
6,277,hard,12,60,781,120,19,6
6,278,basic,6,25,229,28,7,6
6,278,medium,9,38,509,83,12,6
6,278,hard,12,62,842,112,21,6
6,278,whitehard,13,68,953,63,25,6
6,279,basic,6,23,378,190,9,6
6,279,medium,10,42,574,192,14,6
6,279,hard,14,75,958,254,20,6
6,280,basic,6,23,220,59,7,6
6,280,medium,10,45,489,109,14,6
6,280,hard,14,75,960,206,21,6
6,281,basic,6,23,251,142,5,6
6,281,medium,9,39,513,213,11,6
6,281,hard,12,62,802,226,16,6
6,282,basic,3,11,183,59,0,6
6,282,medium,8,34,372,44,12,6
6,282,hard,11,54,709,130,16,6
6,282,whitehard,13,67,911,134,22,6
6,283,basic,7,26,313,111,7,6
6,283,medium,10,46,576,107,13,6
6,283,hard,15,81,913,135,22,6
6,283,whitehard,15,86,1084,118,27,6
6,285,basic,6,22,116,0,5,6
6,285,medium,10,45,364,0,14,6
6,285,hard,14,78,685,53,18,6
6,286,basic,5,18,225,124,4,6
6,286,medium,8,34,504,282,8,6
6,286,hard,11,53,760,283,13,6
6,286,whitehard,13,71,1219,366,25,6
6,287,basic,3,11,177,70,0,6
6,287,medium,7,28,255,86,7,6
6,287,hard,11,51,614,219,15,6
6,288,basic,2,7,201,132,0,6
6,288,medium,7,29,344,171,8,6
6,288,hard,10,45,474,125,13,6
6,289,basic,5,17,170,55,5,6
6,289,medium,8,32,349,97,9,6
6,289,hard,11,52,484,106,14,6
6,290,basic,2,7,102,14,0,6
6,290,medium,7,28,175,10,7,6
6,290,hard,10,43,492,32,13,6
6,290,whitehard,12,63,756,29,21,6
6,291,basic,5,20,153,23,6,6
6,291,medium,9,37,331,0,12,6
6,291,hard,12,60,648,50,17,6
6,292,basic,5,19,136,36,4,6
6,292,medium,8,35,386,69,12,6
6,292,hard,11,53,604,92,15,6
6,293,basic,6,22,292,169,5,6
6,293,medium,10,42,449,117,12,6
6,293,hard,13,65,1001,252,21,6
6,294,basic,5,18,189,81,5,6
6,294,medium,9,37,370,93,10,6
6,294,hard,11,53,625,139,13,6
6,295,basic,2,7,131,15,0,6
6,295,medium,8,33,389,85,11,6
6,295,hard,12,59,736,156,17,6
6,295,whitehard,12,61,880,260,18,6
6,300,basic,3,10,143,36,0,6
6,300,medium,7,29,223,36,8,6
6,300,hard,9,39,345,49,11,6
6,300,whitehard,10,46,391,47,13,6
6,301,basic,5,17,116,3,4,6
6,301,medium,8,32,251,14,8,6
6,301,hard,11,50,431,43,14,6
6,303,basic,6,23,268,39,8,6
6,303,medium,9,39,506,26,13,6
6,303,hard,12,62,779,46,21,6
6,305,basic,7,26,258,6,9,6
6,305,medium,10,45,521,46,13,6
6,305,hard,13,70,796,16,22,6
6,306,basic,7,28,299,62,9,6
6,306,medium,10,46,482,108,14,6
6,306,hard,14,80,760,158,17,6
6,306,whitehard,15,85,916,162,21,6
6,307,basic,7,27,294,54,8,6
6,307,medium,10,43,443,130,11,6
6,307,hard,14,76,894,92,23,6
6,307,whitehard,14,77,966,75,26,6
6,308,basic,5,17,110,15,4,6
6,308,medium,8,32,213,18,8,6
6,308,hard,11,52,545,80,13,6
6,309,basic,6,21,223,95,6,6
6,309,medium,9,38,401,48,13,6
6,309,hard,12,57,719,128,17,6
6,310,basic,5,18,116,8,5,6
6,310,medium,9,36,306,46,10,6
6,310,hard,12,60,634,88,15,6
6,310,whitehard,13,69,890,208,19,6
6,313,basic,6,22,259,93,7,6
6,313,medium,9,39,443,155,10,6
6,313,hard,12,60,702,226,13,6
6,314,basic,5,16,206,137,2,6
6,314,medium,7,28,308,145,7,6
6,314,hard,10,42,490,245,9,6
6,315,basic,4,13,348,191,0,6
6,315,medium,8,34,457,164,11,6
6,315,hard,11,52,701,217,14,6
6,316,basic,6,24,163,24,6,6
6,316,medium,9,40,504,172,12,6
6,316,hard,13,70,1000,291,20,6
6,317,basic,8,32,487,187,11,6
6,317,medium,10,47,692,192,14,6
6,317,hard,15,83,1123,223,26,6
6,318,basic,3,11,183,45,0,6
6,318,medium,8,34,335,67,10,6
6,318,hard,11,53,564,71,14,6
6,319,basic,5,19,164,49,5,6
6,319,medium,8,33,304,56,9,6
6,319,hard,11,54,554,89,13,6
6,320,basic,5,18,157,68,4,6
6,320,medium,8,34,313,54,9,6
6,320,hard,11,53,529,57,13,6
6,321,basic,8,33,447,116,12,6
6,321,medium,11,51,627,137,14,6
6,321,hard,15,85,1184,242,27,6
6,322,basic,3,11,236,79,0,6
6,322,medium,8,34,484,101,15,6
6,322,hard,11,52,741,102,18,6
6,323,basic,3,9,136,38,0,6
6,323,medium,8,32,294,57,9,6
6,323,hard,10,47,505,96,11,6
6,324,basic,1,3,136,80,0,6
