id,title,titleOrig,relatedMusicUid,relatedMusicId,comment,commentOrig,isRare
33,FIRE 2,,5k36,731,,"泉さんのギターはいつもかっこよくて、ぼくシビレちゃう！ギュィィィ～ン！
いつか教えてもらいたいな～",FALSE
34,Crystalia,,5k37,732,,"TOTTOさんに聞いたんだけど実はこの曲イラストが先に出来上がっていたんだって！
とても幻想的な曲で、違う世界に入りこんだみたいだね～！",FALSE
35,Journey,,5k39,734,,"猫叉Masterさんの世界にぼくも遊びに行ってみたいな～。
鹿さんとか、ひつじさんとか、ねこさんとか、たくさんお友達できそうだよね～！",FALSE
35,Winter Gift ～クリスピーからの贈りもの～,,5k38,733,,キラキラ輝くクリスピーさんからの贈り物、ぼくとみんなで一生懸命ラッピングしたよ！,FALSE
37,ORIENTAL MESIA,,5k40,795,,オリエンタルな料理を食べたくなったよ～。今夜のごはんはそうしよう！,FALSE
38,CODE:2,,5k42,771,,"だからHEXAさんって一体何者なの！？
ドスドス低音がおなかに響いてくる～！",FALSE
39,斬刀鬼,,5k43,735,,"鬼を斬るための刀があるって、Des-ROWさんが言ってたんだよね！
鬼しか鞘から抜くことができない刀もあるって言ってた…。この曲と関係あるのかな～！？",FALSE
40,Like a nameless flower,,5k44,796,,"名前の無い花に名前をつけて歩く、そんな旅に出てみようかな～。
なんだか素敵じゃない？",FALSE
41,Rebellio,,5k45,775,,"どっひゃ～！リフレクビート史上初めての【難易度13】だよ～！
Rebellioって反逆者って意味があるんだって！誰かのうめき声みたいな音とバイオリン、鐘の音、ゾクゾクが止まらないよ～！",FALSE
42,SAMBA de 恋心,,5k46,782,,"サンバのリズムに合わせてぼくも踊っちゃうよ～?
ほらっ、キミも恥ずかしがらずに、レッツサンバ！",FALSE
43,Precious ☆ Star,,5k47,797,,"ボーカルのえなこさんはとても人気のこすぷれいやーでもあるんだって！
ぼくよりたくさんお洋服もってそうだよね～！",FALSE
44,Disable Mark,,5k48,798,,"すごくトガッてるのに、なんか哀愁！
この2人の相性はバッチリだね！それにしても、ドラムの音がするどいね～！",FALSE
45,ruin of opals,,5k49,799,,"こんなにピアノが弾けたなら、ぼくもきっと違った人生を歩んでいたんだろうなぁ。
ピアニストパステルくんとしてリフレクビートに登場！なんてね☆",FALSE
46,EXOTICA,,5k50,800,,エキゾチックとサイバーが融合したまさに3rd seasonな一曲だよね！,FALSE
47,The 5th KAC DJ TOTTO's SELECTION,,5k51,776,,"すごく懐かしい曲も入ってて思い出がよみがえってくるね！
次があったらどの曲が入るかなあ？名曲が多すぎて選びきれないよ～",FALSE
48,Black or Red?,,5k53,802,,"う～ん、なんかいろいろ考えさせられるいい歌詞だね～！
ちなみにぼくは黒も赤も好きだよ～",FALSE
49,Dreaming,,5k52,801,,"この曲を遊ぶと、どこにでも飛んでいけちゃいそうな気がするな～！
わ～い、ゆめみるパステルくんだよ～！",FALSE
50,黒髪乱れし修羅となりて～凛 edition～,,5t20,810,,"凛ちゃん！ちくわ姫決定おめでと～！
ちくわっておでんの汁を吸うときべんりだよね～！みんなもやってみてね～★",FALSE
51,去る金合戦,,5t18,774,,ぼくもこんなヘアスタイルしてみたいなぁ～！似合うとおもうんだよね～！,FALSE
52,加油!元気猿!,,5t16,772,,今年は申年だね～！ぼくもおさるさんみたいに高い木の上をとび回れたらなぁ～,FALSE
53,Monkey Business,,5t17,773,,おさるでビジネスってどうやるの？ぼくにもできる？,FALSE
54,カラフルミニッツ,,1k01,13,,"ぼくがはじめて登場した楽曲なんだよ！
ぼくが時計を直せば、深い闇もカラフルに染まるよ?",FALSE
55,Twinkle Wonderland,,2k02,94,,ぼくのお友達、ぶたみたいなネコさんが、Twinkle Worldに素敵な音色を届けてくれた曲だよ?,FALSE
56,空色コンチェルト,,2k05,97,,"お空で演奏会を開いたときに、ぼくのお友達のひよこみたいなことりさんが指揮者をやったんだ～?
みんな上手で感動しちゃった～★",FALSE
57,Fly to Next World,,2k30,122,,進む勇気さえあれば、新しい世界へ続く扉はいつも近くにあるんだよ～,FALSE
58,Starry ☆ night,,2t19,141,,サントラ特典でついてきたクリスピーさんのミニアルバムに収録された楽曲だよ！みんな覚えてるかな？？,FALSE
59,cloche,,2t27,149,,"ぼくのお友達のボブくんは、決まった時間に鐘を鳴らすお仕事しているんだよ！もちろんおやつの時間もね！
だからぼくはボブくんのお顔をみるといつもおやつ思い出しちゃうんだよね～★",FALSE
60,snow prism,,3k01,188,,"つぎドカっていうイベントで披露した楽曲だよ！
ぼくは氷海ちゃんと一緒にクリスピーさんを応援したんだ～★",FALSE
61,Almace - HI SPEED EDITION -,,3k17,204,,"ぼくが時計の修理をしてるときに撮影された楽曲なんだよ！
時計の真ん中から飛び出したらカメラがいっぱいあってビックリしちゃった～★",FALSE
62,printemps,,3k35,250,,"暖かい春の日にふわふわした綿毛がたっくさん飛んできたんだ～。
おいしそうだったから手を伸ばしてみたんだけど、一緒に飛ばされちゃったんだよね～。えへへ～",FALSE
63,anemone,,3k37,267,,"クリスピーさんとS-C-Uさんのコラボ楽曲！きつねさんと一緒にティータイムしたんだ～！
ぼくは、紅茶とモンブランを持ち寄ったんだけど、きつねさんは和菓子派だったんだよね～！",FALSE
64,ロボット☆ライフ,,3k67,349,,クリスピーさん締め切りが近かったのかなぁ？ちょっと心配しちゃう、そんな歌詞だよね～！,FALSE
65,カーテンコール?メモリーズ,,4k86,688,,"みんなREFLEC BEAT groovin'!!をたくさんプレーしてくれてどうもありがとう！！
なつかしいな～。クリスピーさんとDJ TOTTOさんが作ってくれた素敵なエンディング曲だよ～！",FALSE
66,夏色DIARY 懐色DIEARY,,4m12,687,,"夏休みにね、知らない街をたっくさん歩いたんだ～。
冷やし中華を食べたり、ラムネ飲んだり、おかしをリュックに沢山つめて…。楽しかったな～★",FALSE
67,CODE:1 [revision 0.9.8],,5k54,815,,0.9.8っていうことは、これがCODE:1のプロトタイプみたいなものなのかな～？,FALSE
68,Mathematical Love,,5k55,816,,数学って難しくてよくわからないよ。おにぎりの数なら数えられるんだけどな～。えへへ,FALSE
69,とっと　トット　TOTTO,𝕋𝕆𝕋𝕋𝕆 𝑻𝑶𝑻𝑻𝑶 TOTTO,-,-1,,"どっひゃ～！
あっちもTOTTOさん、こっちもTOTTOさん！世界がTOTTOさんで溢れてるよ～?",TRUE
70,WE ARE YOU ARE VENUS!!,,-,-1,,"VENUSの楽曲を3回もプレーしたの？
ぼくもVENUS好きだけど君も結構すきなんだねぇ～！んふふ",TRUE
71,絶望と背徳のゆるコメ,Casual comment about despair and immoral,-,-1,,"どっひゃ～！
マキシマイザーさん3連発！！絶望がいっぱいだよ！",TRUE
72,Pleasure with VOLZZA,,5k56,820,,"この音どこかで聴いたことある気がするなぁ～？あ！VOLZZAで使われてた曲がつながってる～！
なんだかさらに激しいような気がするのはなんでだろう～！？",FALSE
73,在るが儘に,,5k57,821,,"バンドのみんなで作ったんだって！
ぼくもギター弾いて参加する予定だったんだけど、予定が合わなかったんだ～?",FALSE
74,Crafty Savior,,5k58,822,,「HuΣeR」ってなんて読むのかなぁ？Σは首を横にして読むのかなぁ？,FALSE
75,H@ppy Choice,,5t21,823,,ヒョウ柄のふんどしだって～。ぼくにも似合うかな？,FALSE
76,O JIYA,,5t22,824,,カレーが食べたくなっちゃう曲だよね～！え？ぼくだけ？,FALSE
77,Little Prayer,,5t23,825,,"ドラムのリズムが印象的だよね～。
ズタンタンタン?ズタンタンタン?繰り返しのリズムに、なんだか眠くなっちゃうよ～zzz",FALSE
78,カモミール?バスルーム,,5t24,826,,"バスルームをカモミールの香りでいっぱいにしてゆっくりあったまろうかな?
ん？リア充ってなぁに？",FALSE
79,El Dorado,,5t25,827,,"ぼくにとってのエルドラドは…あそこかな～。
え、どこだって？内緒だよ～☆",FALSE
80,under control,,5t26,828,,"あたまをフリフリしたくなっちゃう曲だよね～！
こういう声ってどうやってだすのかなぁ？ぼくにもできるかなぁ？",FALSE
81,"Good bye, Summer～さよならは言わない～",,5m02,829,,軽音部廃部寸前なの～？ぼく入部しようか～？,FALSE
